unique_identifier,timestamp,price
ZEC-AUD,1557151475960084,6876
ETH-AUD,1557151476141086,18267
ETH-AUD,1557151476222085,18267
ETH-AUD,1557151476222086,18266
ZEC-AUD,1557151476770087,6876
BTC-AUD,1557151476983100,552050
ZEC-AUD,1557151477208095,6787
ZEC-AUD,1557151477208107,6790
BTC-AUD,1557151477312088,552050
BTC-AUD,1557151477368089,552050
ZEC-AUD,1557151477402089,6787
ZEC-AUD,1557151477402089,6790
ZEC-AUD,1557151477402089,6790
ETH-AUD,1557151477485097,18310
LTC-AUD,1557151477541091,7665
ETH-AUD,1557151477539089,18310
ETH-AUD,1557151477539089,18310
LTC-AUD,1557151477709108,7607
LTC-AUD,1557151477964093,7607
LTC-AUD,1557151478270095,7640
LTC-AUD,1557151478324093,7640
LTC-AUD,1557151478488103,7677
LTC-AUD,1557151478875094,7677
LTC-AUD,1557151478991113,7672
LTC-AUD,1557151479209098,7672
LTC-AUD,1557151479209098,7672
BTC-AUD,1557151479492098,551499
BTC-AUD,1557151479567097,551499
BTC-AUD,1557151479567098,551499
BTC-AUD,1557151479993116,551479
BTC-AUD,1557151480142099,551479
BTC-AUD,1557151480142099,551479
LTC-AUD,1557151480196102,7677
ETH-AUD,1557151480221116,18801
ETH-AUD,1557151480403100,18801
ETH-AUD,1557151480403100,18801
LTC-AUD,1557151480744103,7677
BTC-AUD,1557151480998104,552024
ZEC-AUD,1557151480998122,6874
BTC-AUD,1557151481184103,552024
ZEC-AUD,1557151481185103,6874
ZEC-AUD,1557151780964291,6764
ZEC-AUD,1557151780964299,6776
ZEC-AUD,1557151781197285,6764
ZEC-AUD,1557151781197285,6764
ZEC-AUD,1557151781197285,6776
ZEC-AUD,1557151781197285,6776
BTC-AUD,1557151781235286,564515
LTC-AUD,1557151680885904,7544
LTC-AUD,1557151681023891,7544
LTC-AUD,1557151681023892,7544
LTC-AUD,1557151681023893,7544
LTC-AUD,1557151681311894,7774
ZEC-AUD,1557151681311895,6821
ZEC-AUD,1557151681311903,6824
LTC-AUD,1557151681476892,7774
LTC-AUD,1557151681476892,7774
ZEC-AUD,1557151681473892,6821
ZEC-AUD,1557151681473893,6821
ZEC-AUD,1557151681473893,6824
ZEC-AUD,1557151681473893,6824
ZEC-AUD,1557151681689894,6821
ZEC-AUD,1557151471555066,6879
ZEC-AUD,1557151471555066,6879
BTC-AUD,1557151473179089,554284
BTC-AUD,1557151473311073,554284
BTC-AUD,1557151473311073,554284
LTC-AUD,1557151473442079,7652
ETH-AUD,1557151473442089,18266
LTC-AUD,1557151473534073,7652
LTC-AUD,1557151473534073,7652
ETH-AUD,1557151473546073,18266
ZEC-AUD,1557151473944086,6875
ZEC-AUD,1557151474165076,6875
ZEC-AUD,1557151474165076,6875
LTC-AUD,1557151474183082,7637
ZEC-AUD,1557151474183087,6803
LTC-AUD,1557151474637080,7637
LTC-AUD,1557151474637081,7637
LTC-AUD,1557151474637082,7637
LTC-AUD,1557151474637083,7637
ZEC-AUD,1557151474659078,6803
ZEC-AUD,1557151474659079,6803
ZEC-AUD,1557151474659080,6803
ZEC-AUD,1557151481185103,6874
BTC-AUD,1557151481227105,554263
ETH-AUD,1557151481728114,18775
ETH-AUD,1557151482505129,18375
ETH-AUD,1557151482694109,18375
LTC-AUD,1557151482730124,7611
ETH-AUD,1557151483231120,18842
ZEC-AUD,1557151483507132,6873
ZEC-AUD,1557151484063115,6873
ZEC-AUD,1557151484063115,6873
ZEC-AUD,1557151484165119,6881
BTC-AUD,1557151484747119,553150
BTC-AUD,1557151484747131,553141
LTC-AUD,1557151484849121,7712
LTC-AUD,1557151485001120,7712
LTC-AUD,1557151485017137,7718
LTC-AUD,1557151485102119,7718
LTC-AUD,1557151485102120,7718
LTC-AUD,1557151485102121,7718
LTC-AUD,1557151485520135,7705
ETH-AUD,1557151485520141,18370
LTC-AUD,1557151485677121,7705
ETH-AUD,1557151485684121,18370
LTC-AUD,1557151485966126,7705
LTC-AUD,1557151485966127,7705
LTC-AUD,1557151486252133,7580
ETH-AUD,1557151486333129,18370
LTC-AUD,1557151486425124,7580
LTC-AUD,1557151486425124,7580
ETH-AUD,1557151486432125,18370
ETH-AUD,1557151486433126,18375
ETH-AUD,1557151486601126,18375
BTC-AUD,1557151486754134,553149
ETH-AUD,1557151486872127,18375
BTC-AUD,1557151486881126,553149
BTC-AUD,1557151486881126,553149
ETH-AUD,1557151487034131,18349
ETH-AUD,1557151487034139,18351
ETH-AUD,1557151487094127,18349
ETH-AUD,1557151487094127,18351
ETH-AUD,1557151487094127,18351
ZEC-AUD,1557151487538148,6898
LTC-AUD,1557151487755135,7583
BTC-AUD,1557151697232956,557312
BTC-AUD,1557151697579961,559577
BTC-AUD,1557151697763957,559577
ETH-AUD,1557151697888961,18444
ZEC-AUD,1557151697888964,6837
BTC-AUD,1557151698104971,559016
ETH-AUD,1557151698169958,18444
ZEC-AUD,1557151698216958,6837
BTC-AUD,1557151698372959,559016
BTC-AUD,1557151698372959,559016
BTC-AUD,1557151698610965,558439
BTC-AUD,1557151698801961,558439
BTC-AUD,1557151699027962,558439
LTC-AUD,1557151699115972,7476
ETH-AUD,1557151699231965,18444
LTC-AUD,1557151699233962,7476
LTC-AUD,1557151699233962,7476
ZEC-AUD,1557151699390970,6822
BTC-AUD,1557151699483965,558439
ZEC-AUD,1557151699714964,6822
ZEC-AUD,1557151699862966,6822
ZEC-AUD,1557151699867966,6822
ETH-AUD,1557151699879966,18444
ZEC-AUD,1557151700092967,6822
ZEC-AUD,1557151700517968,6822
ZEC-AUD,1557151700644987,6492
LTC-AUD,1557151701145972,7497
LTC-AUD,1557151701395977,7813
ETH-AUD,1557151701395983,18443
LTC-AUD,1557151701551971,7813
LTC-AUD,1557151701551971,7813
ETH-AUD,1557151701551971,18443
ETH-AUD,1557151701551971,18443
ZEC-AUD,1557151701647979,6486
BTC-AUD,1557151702397984,556746
ETH-AUD,1557151702397991,18452
ETH-AUD,1557151702584975,18452
BTC-AUD,1557151702589975,556746
BTC-AUD,1557151702589975,556746
